,aspects,frequency,emotions,Performance,Performance_C
0,not paying attention,1,,87.39,B
1,still okay How,1,,87.39,B
2,not doing neighbors,1,,87.39,B
3,just random stuff,1,Angry,87.39,B
4,then itll start,1,,87.39,B
5,then itll check,1,,87.39,B
6,then itll switch,1,,87.39,B
7,not using selection,1,,87.39,B
8,just put length,1,Sad,87.39,B
9,just keep counting,1,Fear,93.1,A
10,just finished C,1,,93.1,A
11,always been hes,1,Sad,93.1,A
12,always having something,1,Sad,93.1,A
13,not invert length,1,Sad,93.1,A
14,then itll run,1,,93.1,A
15,just like sit,1,,93.1,A
16,still drafting David,1,,93.1,A
17,almost done Im,1,,66.57,D
18,just throwing ideas,1,,66.57,D
19,just do radius,1,,66.57,D
20,just put vowels,1,Sad,66.57,D
21,not printing anything,2,,66.57,D
22,not do Were,1,Sad,66.57,D
23,not doing anything,1,,66.57,D
24,here yeah something,1,,66.57,D
25,not using anything,1,,66.57,D
26,already made mistakes,1,Sad,66.57,D
27,now Okay Nevermind,1,,66.57,D
28,still didnt see,1,,66.57,D
29,not called temp,1,,66.57,D
30,then target B,1,Fear,66.57,D
31,just dont want,3,,66.57,D
32,just joking Were,1,Happy,66.57,D
33,not cheating Nevermind,1,Surprise,66.57,D
34,probably wrong No,1,Fear,66.57,D
35,Just joking Im,1,Happy,66.57,D
36,probably gon na,1,Fear,66.57,D
37,probably use column,1,Fear,66.57,D
38,just remember something,1,,66.57,D
39,just say side,1,Surprise,87.48,B
40,just do print,1,,87.48,B
41,then length width,1,,87.48,B
42,now weve got,1,,87.48,B
43,just say call,1,Surprise,87.48,B
44,then begin method,1,,87.48,B
45,just say number,1,Surprise,87.48,B
46,actually do anything,1,Surprise,87.48,B
47,then dont forget,1,Angry,87.48,B
48,only want vowels,1,,87.48,B
49,then put x,1,Sad,87.48,B
50,really dont need,1,Surprise,87.48,B
51,just didnt Lets,1,Sad,87.48,B
52,definitely shouldnt print,1,Fear,87.48,B
53,na be N,1,,87.48,B
54,not working Oh,1,Fear,87.48,B
55,only printed things,1,Surprise,87.48,B
56,already used N,1,,87.48,B
57,still using M,1,,87.48,B
58,actually calling parts,1,Surprise,87.48,B
59,Probably wont change,1,Fear,87.48,B
60,then int B,1,,87.48,B
61,now be X,1,,87.48,B
62,so lost Are,1,Sad,87.48,B
63,not multiply Oh,1,,87.48,B
64,just doesnt look,1,,87.48,B
65,not doing something,2,,87.48,B
66,just dont need,1,,87.48,B
67,only printing whats,1,,87.48,B
68,so satisfying Okay,1,,87.48,B
69,just say M,1,Surprise,87.48,B
70,just call M,1,,87.48,B
71,just been chance,1,Fear,87.48,B
72,never pressed enter,1,Fear,87.48,B
73,never pressed anything,1,Fear,87.48,B
74,here run sampler,1,,57.18,F
75,Then base times,1,Sad,57.18,F
76,not counting Oh,1,Fear,57.18,F
77,literally retarded bro,1,,57.18,F
78,then switch flipflop,1,,57.18,F
79,even paying attention,1,,57.18,F
80,so lost No,1,Sad,57.18,F
81,there bro die,1,,57.18,F
82,not copying Im,1,,57.18,F
83,not recording bruh,1,,57.18,F
84,just get Sarah,1,,57.18,F
85,not done bruh,1,,57.18,F
86,just did program,1,,76.11,C
87,probably spelled square,1,Fear,76.11,C
88,not say thanks,1,Surprise,76.11,C
89,even put mine,1,Sad,76.11,C
90,just lookup YouTube,1,,76.11,C
91,just doesnt move,1,,76.11,C
92,still said try,1,Surprise,76.11,C
93,only play Fortnite,1,Fear,76.11,C
94,just get grades,1,,76.11,C
95,just leave everything,1,Sad,66.79,D
96,still printing zero,1,,66.79,D
97,just type call,1,Fear,95.73,A
98,just go home,1,Sad,95.73,A
99,then theyre gon,1,,95.73,A
100,just increment i,1,,95.73,A
101,actually showed something,1,Surprise,95.73,A
102,normally youd pick,1,,95.73,A
103,just cant process,1,,95.73,A
104,just try something,1,,95.73,A
105,just add tack,1,Sad,95.73,A
106,just testing something,1,,95.73,A
107,almost forgot dorm,1,Angry,95.73,A
108,never seen gray,1,Fear,95.73,A
109,just finished Anything,1,,95.73,A
110,just doing return,1,,95.73,A
111,then realize thats,1,,95.73,A
112,always run Thats,1,Sad,95.73,A
113,basically iterate thats,1,Fear,95.73,A
114,So yeah Forget,1,Angry,89.05,B
115,already moved everything,1,Sad,89.05,B
116,then bracket dimension,1,Surprise,92.94,A
117,then control C,1,,92.94,A
118,not work Mine,1,Fear,59.48,F
119,also return Array,1,,59.48,F
120,just doesnt clip,1,,77.24,C
121,just didnt see,1,,77.24,C
122,just leave Did,1,,77.24,C
123,even need size,1,,77.24,C
124,really sleepy today,1,Surprise,77.24,C
125,always increasing Go,1,Sad,77.24,C
126,actually open Is,1,Surprise,77.24,C
127,not gon na,1,,77.24,C
128,not returning anything,1,,77.24,C
129,not point Were,1,Surprise,77.24,C
130,Now youre mine,1,,77.24,C
131,then tab Five,1,,77.24,C
132,just did IfLs,1,,77.95,C
133,even push start,1,Fear,77.95,C
134,just put Word,1,Angry,77.95,C
135,then end Do,1,,78.57,C
136,then width Feeling,1,,78.57,C
137,just do Im,1,,78.57,C
138,just do ifs,1,,78.57,C
139,here friend Syntax,1,Happy,78.57,C
140,just do times,1,,78.57,C
141,not use script,1,,78.57,C
142,possibly set substring,1,Fear,78.57,C
143,just do whoops,1,Fear,78.57,C
144,so string Name,1,,78.57,C
145,just declare things,1,Surprise,78.57,C
146,not passing anything,1,,72.14,C
147,then return area,1,,72.14,C
148,then control X,1,,72.14,C
149,So control X,1,,72.14,C
150,probably go branch,1,Fear,72.14,C
151,poorly explaining So,1,,72.14,C
152,just randomize letters,1,,72.14,C
153,just have press,1,Fear,72.14,C
154,just control z,1,,72.14,C
155,not have mine,1,Sad,72.14,C
156,really find selection,1,Surprise,85.55,B
157,not have time,1,Sad,85.55,B
158,not doing dot,1,,69.9,D
159,already stumped How,1,,69.9,D
160,not look fun,1,Happy,69.9,D
161,not calling anything,1,,69.9,D
162,just doing mystery,1,,69.9,D
163,just do ALTTAB,1,,69.9,D
164,not drawing anything,1,Fear,69.9,D
165,even think anything,1,Surprise,69.9,D
166,then weve got,1,,69.9,D
167,already taken care,1,Surprise,69.9,D
168,just take activity,1,,69.9,D
169,actually did something,1,Surprise,69.9,D
170,then played start,1,Fear,69.9,D
171,just realized Ive,1,,69.9,D
172,then go backwards,1,,69.9,D
173,always work Friday,1,Sad,69.9,D
174,just do display,1,,69.9,D
175,youre taking points,1,Surprise,69.9,D
176,ago lab part,1,,69.9,D
177,not doing doubles,1,,89.34,B
178,just height times,1,,89.34,B
179,not make sense,1,Sad,89.34,B
180,not initialize numbers,1,Fear,89.34,B
181,just need J,1,,89.34,B
182,just print J,1,,89.34,B
183,then put commas,1,Sad,89.34,B
184,just using X,1,,89.34,B
185,really dont feel,1,Surprise,89.34,B
186,meter check thing,1,Surprise,89.34,B
187,really make sense,1,Surprise,89.34,B
188,also play Dishonored,1,Sad,89.34,B
189,probably got everything,1,Sad,89.34,B
190,so tired Im,1,,89.34,B
191,just dont feel,2,,89.34,B
192,just having trouble,1,Sad,89.34,B
193,here called array,1,,89.34,B
194,just put water,1,Sad,89.34,B
195,then know check,1,,89.34,B
196,just do methods,1,,97.62,A
197,just pass X,1,,97.62,A
198,then itll store,1,,97.62,A
199,well do triangle,1,,97.62,A
200,object oriented stuff,1,Angry,97.62,A
201,just compare indexes,1,,97.62,A
202,really do Im,1,Surprise,83.63,B
203,youre going backwards,1,Fear,83.63,B
204,just worded weird,1,Angry,83.63,B
205,just tell Chris,1,Sad,83.63,B
206,probably forget everything,1,Angry,72.28,C
207,basically did Right,1,Fear,72.28,C
208,hardly anybody finishes,1,,76.89,C
209,just taking screenshots,1,Surprise,76.89,C
210,just went home,1,Sad,76.89,C
211,not bio stuff,1,Angry,76.89,C
212,then column Okay,1,,76.89,C
213,just cant figure,1,,76.89,C
214,just ask Huh,1,Surprise,76.89,C
215,Then return times,1,,88.17,B
216,now using night,1,,88.17,B
217,not judging Were,1,,88.17,B
218,not counting Y,1,Fear,88.17,B
219,just do system,1,Fear,88.17,B
220,just do substrings,1,,88.17,B
221,not outputting anything,1,,88.17,B
222,Just put brackets,1,Surprise,88.17,B
223,not work Whats,1,Fear,88.17,B
224,just put list,1,Sad,88.17,B
225,slightly whistling apache,1,,88.17,B
226,dont have headphones,1,,88.17,B
227,even saying anything,1,Surprise,88.17,B
228,just be backwards,1,,88.17,B
229,not hash code,1,,88.17,B
230,not Defined amount,1,,88.17,B
231,also have something,1,,88.17,B
232,just didnt figure,1,,88.17,B
233,still confused Okay,1,Fear,88.17,B
234,just fix something,1,,92.66,A
235,really dont want,1,Surprise,92.66,A
236,just adding comments,1,Sad,92.66,A
237,not coming today,1,Surprise,92.66,A
238,not working Wow,1,Surprise,92.66,A
239,now use split,1,,92.66,A
240,just did size,1,,92.66,A
241,just write system,1,Fear,92.66,A
242,not correct So,1,,92.66,A
243,just put QWERTYI,1,Sad,92.66,A
244,just did Q,1,,92.66,A
245,not working Okay,1,Fear,92.66,A
246,Now fill array,1,Fear,92.66,A
247,then make variables,1,Sad,92.66,A
248,just couldnt think,1,Surprise,87.97,B
249,double cause thats,1,,87.97,B
250,far See Im,1,Fear,87.97,B
251,just did everything,1,Sad,87.97,B
252,not do Charlie,1,Sad,87.97,B
253,just didnt read,1,,87.97,B
254,just havent gotten,1,,87.97,B
255,well stay home,1,Angry,87.97,B
256,just cause somebody,1,,87.97,B
257,then put J,1,Sad,87.97,B
258,itll be INT,1,,87.97,B
259,just changed Eight,1,,87.97,B
260,not seen Neighbors,1,,87.97,B
261,not see Neighbors,1,,87.97,B
262,yall did everything,1,Sad,87.97,B
263,not paying anything,1,,87.97,B
264,now getting print,1,,87.97,B
265,well see Well,1,,87.97,B
266,really pay attention,1,Surprise,87.97,B
267,just say ASAP,1,Surprise,87.97,B
268,very working cell,1,Fear,87.97,B
269,just saying Man,1,Surprise,75.23,C
270,only trust Sarah,1,Fear,75.23,C
271,just saying Im,1,Surprise,75.23,C
272,literally giving reparations,1,Fear,75.23,C
273,always using loops,1,Sad,75.23,C
274,always go look,1,Sad,75.23,C
275,just put max,1,Sad,75.23,C
276,not theyll know,1,,75.23,C
277,just left cause,1,,75.23,C
278,not mean hes,1,Sad,75.23,C
279,just have cartridges,1,,75.23,C
280,Still questioned Im,1,Fear,75.23,C
281,still didnt return,1,,83,B
282,never choose anything,1,,83,B
283,probably do ABC,1,Fear,83,B
284,na be lists,1,,83,B
285,still go Are,1,,83,B
286,just socialize Dow,1,,83,B
287,just have int,1,,83,B
288,youd be kind,1,Happy,83,B
289,just printed everything,1,Sad,73.66,C
290,just max equals,1,,73.66,C
291,then display B,1,,73.66,C
292,just did zero,1,,73.66,C
293,just wan na,1,Sad,73.66,C
294,just saying mid,1,Surprise,73.66,C
295,not know Yall,1,Sad,73.66,C
296,really dont know,1,Surprise,73.66,C
297,just did selection,1,,73.66,C
298,already switched Okay,1,,73.66,C
299,just doesnt work,1,Fear,73.66,C
